"","id","CL","TR","1","2","3","4","5","6","7"
"277","RYYGPY",2,3,NA,NA,470,NA,450,440,450
"278","RYYGRB",3,1,NA,670,NA,NA,NA,NA,690
"279","RYYGRD",2,1,NA,660,660,660,NA,NA,NA
"280","RYYGRG",3,1,NA,640,650,NA,NA,660,NA
"281","RYYGRP",1,1,NA,660,660,NA,660,NA,NA
"282","RYYGRR",2,1,NA,640,NA,650,640,650,640
"283","RYYGRY",3,1,NA,640,650,650,NA,650,640
"284","RYYGYR",3,1,NA,630,610,610,610,610,NA
"285","RYYPRR",3,2,NA,NA,240,240,NA,230,NA
"286","RYYPYB",1,1,NA,NA,NA,1030,NA,1030,1020
"287","RYYPYY",1,1,NA,NA,NA,990,NA,NA,NA
"288","RYYRBB",2,1,NA,620,NA,620,630,630,620
"289","RYYRBG",1,1,NA,560,NA,NA,NA,NA,NA
"290","RYYRBR",1,1,NA,560,NA,570,NA,580,NA
"291","RYYRBY",1,1,NA,580,NA,NA,NA,590,NA
"292","RYYRDB",2,1,NA,1000,1000,1010,1010,1010,NA
"293","RYYRDG",1,2,NA,150,NA,150,NA,150,150
"294","RYYRDP",2,1,NA,930,940,NA,NA,NA,NA
"295","RYYRGG",2,2,NA,110,NA,NA,NA,NA,NA
"296","RYYRGP",1,2,NA,120,40,NA,60,NA,NA
"297","RYYRGY",1,2,NA,110,70,NA,NA,NA,NA
"298","RYYRPB",1,1,NA,1090,NA,NA,NA,NA,NA
"299","RYYRPD",1,1,NA,1080,1090,1050,NA,1070,NA
"300","RYYRPR",1,1,NA,1020,NA,NA,NA,NA,NA
"301","RYYRPY",1,1,NA,1070,1090,NA,NA,1070,1080
"302","RYYRRD",1,2,NA,100,NA,NA,NA,NA,NA
"303","RYYRRG",1,2,NA,80,70,NA,NA,NA,NA
"304","RYYRRR",1,2,NA,70,NA,90,NA,90,80
"305","RYYRRY",2,2,NA,90,NA,90,NA,90,NA
"306","RYYRYD",1,2,NA,140,130,NA,NA,NA,NA
"307","RYYRYR",2,2,NA,100,100,100,NA,120,NA
"308","RYYRYY",2,2,NA,140,120,NA,NA,NA,NA
"309","RYYYBG",3,1,NA,NA,920,NA,NA,NA,NA
"310","RYYYBR",3,3,NA,NA,880,NA,770,NA,NA
"311","RYYYBY",2,1,NA,NA,930,940,930,940,940
"312","RYYYDD",1,3,NA,NA,770,NA,NA,NA,NA
"313","RYYYDG",2,3,NA,NA,760,NA,NA,770,NA
"314","RYYYDP",3,3,NA,NA,770,770,NA,NA,800
"315","RYYYDR",3,3,NA,NA,740,770,NA,NA,NA
"316","RYYYDY",2,3,NA,NA,760,770,NA,NA,NA
"317","RYYYGB",2,2,NA,NA,90,NA,NA,NA,NA
"318","RYYYGD",1,2,NA,NA,90,NA,NA,NA,NA
"319","RYYYGP",2,2,NA,NA,90,NA,NA,80,NA
"320","RYYYGR",3,2,NA,NA,40,NA,NA,40,NA
"321","RYYYPR",2,3,NA,NA,770,NA,NA,780,780
"322","RYYYRB",1,2,NA,NA,40,NA,40,40,40
"323","RYYYRD",2,2,NA,NA,40,NA,NA,NA,NA
"324","RYYYRP",1,2,NA,NA,40,NA,NA,NA,NA
"325","RYYYRY",2,2,NA,NA,40,NA,40,NA,NA
"326","RYYYYB",1,3,NA,NA,740,750,NA,720,790
"327","RYYYYP",3,3,NA,NA,740,740,NA,NA,NA
