"","id","no","year","month","day","treatment","section","landmark","fork.length_mm","weight_g","mature","cohort","phenotypic.sex","genotypic.sex","sex_merged","distance","cluster"
"206","0RPY",308,2016,10,10,"late","L1",436,91,10,"0",2016,"nd","nd","nd",360,"2nd"
"207","0RPY",555,2017,5,24,"late","L1",433,122,21,"nd",2016,"nd","nd","nd",330,"2nd"
"208","0RPY",688,2017,7,28,"late","L1",433,123,20.5,"nd",2016,"nd","nd","nd",330,"2nd"
"209","0RPY",771,2017,10,10,"late","L1",432,143,40.6,"1",2016,"female","nd","female",320,"2nd"
"210","0RRB",15,2016,5,24,"early ","E2",410,64,3.2,"nd",2016,"nd","nd","nd",100,"2nd"
"211","0RRB",578,2017,5,25,"early ","E1",408,115,17.2,"nd",2016,"nd","nd","nd",80,"2nd"
"212","0RRB",840,2017,10,12,"early ","E1",405.5,130,25.2,"0",2016,"nd","nd","nd",55,"2nd"
"213","0RRB",665,2017,7,27,"early ","E1",406,127,26.6,"nd",2016,"nd","nd","nd",60,"2nd"
"214","0RRB",451,2017,3,18,"early ","E1",408,95,11.6,"nd",2016,"nd","nd","nd",80,"2nd"
"215","0RRD",224,2016,8,17,"early ","E1",406,83,4.8,"nd",2016,"nd","nd","nd",60,"2nd"
"216","0RRD",9,2016,5,24,"early ","E1",406,66,3.4,"nd",2016,"nd","nd","nd",60,"2nd"
"217","0RRG",4,2016,5,24,"early ","E1",404,57,2.1,"nd",2016,"nd","nd","nd",40,"3rd"
"218","0RRP",13,2016,5,24,"early ","E1",409,64,5.5,"nd",2016,"nd","nd","nd",90,"3rd"
"219","0RRR",328,2016,10,11,"early ","E1",404,106,14.6,"0",2016,"nd","nd","nd",40,"1st"
"220","0RRR",2,2016,5,24,"early ","E1",404,69,3.9,"nd",2016,"nd","nd","nd",40,"1st"
"221","0RRR",839,2017,10,12,"early ","E1",404,162,46.4,"1",2016,"female","nd","female",40,"1st"
"222","0RRR",663,2017,7,27,"early ","E1",404,159,49,"nd",2016,"nd","nd","nd",40,"1st"
"223","0RRR",573,2017,5,25,"early ","E1",404,140,30.8,"nd",2016,"nd","nd","nd",40,"1st"
"224","0RRY",220,2016,8,17,"early ","E1",404,78,6.1,"nd",2016,"nd","nd","nd",40,"2nd"
"225","0RRY",450,2017,3,18,"early ","E1",404,101,12.8,"nd",2016,"nd","nd","nd",40,"2nd"
"226","0RRY",5,2016,5,24,"early ","E1",404,61,3.3,"nd",2016,"nd","nd","nd",40,"2nd"
"227","0RRY",321,2016,10,11,"early ","E1",404,90,9,"0",2016,"nd","nd","nd",40,"2nd"
"228","0RYB",29,2016,5,24,"early ","E2",423,68,4.2,"nd",2016,"nd","nd","nd",230,"2nd"
"229","0RYB",208,2016,8,17,"early ","E2",423,77,4.3,"nd",2016,"nd","nd","nd",230,"2nd"
"230","0RYB",848,2017,10,12,"early ","E2",417.5,122,22.4,"0",2016,"nd","male","male",175,"2nd"
"231","0RYB",545,2017,5,24,"early ","E2",419,102,13.4,"nd",2016,"nd","nd","nd",190,"2nd"
"232","0RYB",445,2016,10,13,"early ","E2",423,77,5.2,"0",2016,"nd","nd","nd",230,"2nd"
"233","0RYD",26,2016,5,24,"early ","E2",420,57,2,"nd",2016,"nd","nd","nd",200,"3rd"
"234","0RYD",851,2017,10,12,"early ","E2",421,118,16.9,"0",2016,"nd","nd","nd",210,"3rd"
"235","0RYD",679,2017,7,28,"early ","E2",421,116,17.9,"nd",2016,"nd","nd","nd",210,"3rd"
"236","0RYG",24,2016,5,24,"early ","E2",420,71,4.1,"nd",2016,"nd","nd","nd",200,"2nd"
"237","0RYG",195,2016,8,17,"early ","E2",420,90,9.8,"nd",2016,"nd","nd","nd",200,"2nd"
"238","0RYG",432,2016,10,13,"early ","E2",419,95,11.8,"0",2016,"nd","nd","nd",190,"2nd"
"239","0RYR",22,2016,5,24,"early ","E2",419,58,2.8,"nd",2016,"nd","nd","nd",190,"3rd"
"240","0RYR",193,2016,8,17,"early ","E2",419,69,4.4,"nd",2016,"nd","nd","nd",190,"3rd"
"241","0RYY",194,2016,8,17,"early ","E2",420,110,18.8,"nd",2016,"nd","nd","nd",200,"1st"
"242","0RYY",25,2016,5,24,"early ","E2",420,70,3.9,"nd",2016,"nd","nd","nd",200,"1st"
"243","0RYY",454,2017,3,18,"early ","E2",420,130,24.7,"nd",2016,"nd","nd","nd",200,"1st"
"244","0RYY",544,2017,5,24,"early ","E2",419,151,36.3,"nd",2016,"nd","nd","nd",190,"1st"
