"","indID","CL","TR","X1","X2","X3","X4","X5","X6","X7"
"RYYBBP","RYYBBP",1,2,NA,NA,NA,NA,17311,17374,17451
"RYYBBR","RYYBBR",1,2,NA,NA,NA,NA,17311,NA,NA
"RYYBDD","RYYBDD",2,3,NA,NA,NA,NA,17310,NA,17449
"RYYBDR","RYYBDR",1,2,NA,NA,NA,NA,17310,17375,NA
"RYYBGB","RYYBGB",1,2,NA,NA,NA,NA,17310,NA,NA
"RYYDBB","RYYDBB",2,2,NA,NA,17087,NA,NA,17375,NA
"RYYDBD","RYYDBD",2,2,NA,NA,17087,17243,NA,NA,NA
"RYYDBG","RYYDBG",2,2,NA,NA,17087,17243,NA,NA,NA
"RYYDBP","RYYDBP",1,2,NA,NA,17087,17243,17310,NA,NA
"RYYDBR","RYYDBR",2,2,NA,NA,17087,17243,17310,17375,NA
"RYYDBY","RYYDBY",1,2,NA,NA,17087,17243,NA,17375,17451
"RYYDDB","RYYDDB",1,1,NA,NA,17086,NA,NA,NA,NA
"RYYDDG","RYYDDG",3,1,NA,NA,17086,NA,17313,NA,17452
"RYYDDP","RYYDDP",3,1,NA,NA,17086,17253,NA,NA,17452
"RYYDGD","RYYDGD",1,1,NA,NA,17086,NA,NA,NA,NA
"RYYDGR","RYYDGR",2,1,NA,NA,17086,17245,17312,NA,17450
"RYYDPG","RYYDPG",3,1,NA,NA,17086,NA,NA,NA,17452
"RYYDPP","RYYDPP",2,2,NA,NA,17087,NA,NA,17375,NA
"RYYDPR","RYYDPR",2,1,NA,NA,17086,17253,17313,NA,NA
"RYYDRD","RYYDRD",2,1,NA,NA,17086,NA,NA,17377,NA
"RYYDRG","RYYDRG",2,1,NA,NA,17086,NA,NA,NA,NA
"RYYDRP","RYYDRP",1,1,NA,NA,17086,17245,17312,17377,17450
"RYYDRR","RYYDRR",1,1,NA,NA,17086,NA,NA,NA,NA
"RYYDRY","RYYDRY",2,1,NA,NA,17086,17245,17312,17377,NA
"RYYDYB","RYYDYB",3,1,NA,NA,17086,NA,17313,17376,17452
"RYYDYG","RYYDYG",1,1,NA,NA,17086,NA,17312,17377,NA
"RYYDYP","RYYDYP",3,1,NA,NA,17086,17253,NA,NA,NA
"RYYDYY","RYYDYY",3,1,NA,NA,17086,NA,NA,NA,NA
"RYYGBB","RYYGBB",2,2,NA,NA,17085,NA,NA,NA,NA
"RYYGDP","RYYGDP",2,3,NA,NA,17084,NA,NA,17375,17449
"RYYGDY","RYYGDY",2,3,NA,NA,17084,NA,17310,17375,17449
"RYYGGB","RYYGGB",2,1,NA,17031,NA,NA,NA,17376,17452
"RYYGPD","RYYGPD",1,3,NA,NA,17084,NA,17313,17376,17449
"RYYGPG","RYYGPG",3,3,NA,NA,17084,NA,NA,NA,NA
"RYYGPR","RYYGPR",2,3,NA,NA,17084,NA,NA,NA,NA
"RYYGPY","RYYGPY",2,3,NA,NA,17084,NA,17313,17376,17449
"RYYGRB","RYYGRB",3,1,NA,17031,NA,NA,NA,NA,17452
"RYYGRD","RYYGRD",2,1,NA,17031,17086,17253,NA,NA,NA
"RYYGRG","RYYGRG",3,1,NA,17031,17086,NA,NA,17376,NA
"RYYGRP","RYYGRP",1,1,NA,17031,17086,NA,17313,NA,NA
"RYYGRR","RYYGRR",2,1,NA,17031,NA,17253,17313,17376,17452
"RYYGRY","RYYGRY",3,1,NA,17031,17086,17253,NA,17376,17452
"RYYGYR","RYYGYR",3,1,NA,17031,17086,17253,17313,17376,NA
"RYYPRR","RYYPRR",3,2,NA,NA,17087,17243,NA,17375,NA
